task,domain,name,majority,top_markers,mean_frac_pos,mean_frac_neg,mean_diff,auc
motif_tumor_high,8,utag_domain::Tumor__08,Tumor,CD163;PanCK;CD15;PDL1;Ki67,0.22089706327966266,0.07345852510392434,0.14743853817573832,0.6667015706806283
motif_tumor_high,1,utag_domain::Tumor__01,Tumor,FoxP3;CD11b;CD117;CD8;PanCK,0.18210366434934108,0.11430886376428528,0.0677948005850558,0.5982348541510845
motif_tumor_high,3,utag_domain::Tumor__03,Tumor,CD163;PanCK;CD15;PDL1;CD20,0.12981930918679524,0.07503505052594474,0.0547842586608505,0.568960359012715
motif_tumor_high,5,utag_domain::Tumor__05,Tumor,Vimentin;PDL1;PD1;ICOS;CD38,0.12979272320683943,0.09957256319274749,0.030220160014091946,0.5456694091249066
motif_tumor_high,7,utag_domain::Tumor__07,Tumor,CD117;PanCK;CD56;CD163;CD38,0.07581929010127689,0.051235433605474924,0.024583856495801963,0.5110994764397906
motif_tumor_high,0,utag_domain::Tumor__00,Tumor,CD69;CD14;CD11c;CD45;CD163,0.022261362698920824,0.05422640991178435,-0.03196504721286353,0.43051608077786097
motif_tumor_high,4,utag_domain::Tumor__04,Tumor,CD69;CD11c;CD14;CD38;CD45,0.09344665035891207,0.13393463216073584,-0.040487981801823766,0.4502617801047121
motif_tumor_high,9,utag_domain::Macrophage__09,Macrophage,CD31;Vimentin;CD68;PDL1;CD11b,0.05564362914177372,0.09776490217024145,-0.04212127302846773,0.42483171278982795
motif_tumor_high,6,utag_domain::Macrophage__06,Macrophage,Vimentin;CD14;CD68;CD31;CD4,0.05602844050403255,0.14230139860162358,-0.08627295809759103,0.39643979057591616
motif_tumor_high,2,utag_domain::CD4 T cell__02,CD4 T cell,CD3e;CD4;CD45RO;CD45;CD20,0.034187867172445596,0.15816222096323795,-0.12397435379079236,0.30531039640987284
motif_cd8_high,2,utag_domain::CD4 T cell__02,CD4 T cell,CD3e;CD4;CD45RO;CD45;CD20,0.16900235204792938,0.028767379969318857,0.14023497207861052,0.7463047567858103
motif_cd8_high,1,utag_domain::Tumor__01,Tumor,FoxP3;CD11b;CD117;CD8;PanCK,0.17581429992799086,0.11763452105623413,0.058179778871756724,0.4450715160201857
motif_cd8_high,4,utag_domain::Tumor__04,Tumor,CD69;CD11c;CD14;CD38;CD45,0.12839993046886294,0.10075131846835106,0.027648612000511885,0.5442384066409865
motif_cd8_high,6,utag_domain::Macrophage__06,Macrophage,Vimentin;CD14;CD68;CD31;CD4,0.11238975693556517,0.08971157760605122,0.02267817932951395,0.5011794917734183
motif_cd8_high,9,utag_domain::Macrophage__09,Macrophage,CD31;Vimentin;CD68;PDL1;CD11b,0.06924714788189662,0.08600275055704609,-0.016755602675149472,0.4646898981755203
motif_cd8_high,7,utag_domain::Tumor__07,Tumor,CD117;PanCK;CD56;CD163;CD38,0.0545745869243857,0.07140543267326002,-0.01683084574887432,0.516229209591209
motif_cd8_high,3,utag_domain::Tumor__03,Tumor,CD163;PanCK;CD15;PDL1;CD20,0.09116673121605225,0.11129268822736092,-0.020125957011308676,0.45052106661888974
motif_cd8_high,0,utag_domain::Tumor__00,Tumor,CD69;CD14;CD11c;CD45;CD163,0.028641579374764668,0.04924357234907116,-0.020601992974306493,0.49078801994684823
motif_cd8_high,5,utag_domain::Tumor__05,Tumor,Vimentin;PDL1;PD1;ICOS;CD38,0.07389026545051075,0.15415392105774972,-0.08026365560723897,0.33503538475320255
motif_cd8_high,8,utag_domain::Tumor__08,Tumor,CD163;PanCK;CD15;PDL1;Ki67,0.09687334977204166,0.19103683803555677,-0.0941634882635151,0.37875123174773806
motif_cd8_clustering,8,utag_domain::Tumor__08,Tumor,CD163;PanCK;CD15;PDL1;Ki67,0.19657542384830073,0.12930679135610343,0.0672686324921973,0.636260162601626
