task,seed,fold,auc,dataset,selected
motif_apc_t_contact,0,0,0.5770114942528736,bc_jackson2020,True
motif_apc_t_contact,0,1,0.6304155614500442,bc_jackson2020,True
motif_apc_t_contact,0,2,0.5210084033613446,bc_jackson2020,True
motif_apc_t_contact,0,3,0.564516129032258,bc_jackson2020,True
motif_apc_t_contact,0,4,0.5,bc_jackson2020,True
motif_apc_t_contact,1,0,0.5551387846961741,bc_jackson2020,True
motif_apc_t_contact,1,1,0.5498575498575499,bc_jackson2020,True
motif_apc_t_contact,1,2,0.5353535353535355,bc_jackson2020,True
motif_apc_t_contact,1,3,0.5800865800865801,bc_jackson2020,True
motif_apc_t_contact,1,4,0.5981481481481482,bc_jackson2020,True
motif_apc_t_contact,2,0,0.5,bc_jackson2020,True
motif_apc_t_contact,2,1,0.502612330198537,bc_jackson2020,True
motif_apc_t_contact,2,2,0.5419354838709678,bc_jackson2020,True
motif_apc_t_contact,2,3,0.6710758377425045,bc_jackson2020,True
motif_apc_t_contact,2,4,0.6063157894736843,bc_jackson2020,True
motif_cd8_tumor_contact,0,0,0.7063492063492064,bc_jackson2020,True
motif_cd8_tumor_contact,0,1,0.5239880059970015,bc_jackson2020,True
motif_cd8_tumor_contact,0,2,0.5332167832167832,bc_jackson2020,True
motif_cd8_tumor_contact,0,3,0.572434017595308,bc_jackson2020,True
motif_cd8_tumor_contact,0,4,0.7161803713527851,bc_jackson2020,True
motif_cd8_tumor_contact,1,0,0.6494169096209912,bc_jackson2020,True
motif_cd8_tumor_contact,1,1,0.6329365079365079,bc_jackson2020,True
motif_cd8_tumor_contact,1,2,0.6043449637919684,bc_jackson2020,True
motif_cd8_tumor_contact,1,3,0.5953571428571428,bc_jackson2020,True
motif_cd8_tumor_contact,1,4,0.6063199473337723,bc_jackson2020,True
motif_cd8_tumor_contact,2,0,0.6515780730897011,bc_jackson2020,True
motif_cd8_tumor_contact,2,1,0.6949300699300699,bc_jackson2020,True
motif_cd8_tumor_contact,2,2,0.6600496277915633,bc_jackson2020,True
motif_cd8_tumor_contact,2,3,0.6604444444444445,bc_jackson2020,True
motif_cd8_tumor_contact,2,4,0.5096590909090909,bc_jackson2020,True
motif_macrophage_tumor_niche,0,0,0.5492610837438424,bc_jackson2020,True
motif_macrophage_tumor_niche,0,1,0.5525494276795004,bc_jackson2020,True
motif_macrophage_tumor_niche,0,2,0.5369047619047619,bc_jackson2020,True
motif_macrophage_tumor_niche,0,3,0.5259042033235581,bc_jackson2020,True
motif_macrophage_tumor_niche,0,4,0.418242491657397,bc_jackson2020,True
motif_macrophage_tumor_niche,1,0,0.454054054054054,bc_jackson2020,True
motif_macrophage_tumor_niche,1,1,0.42936596218020023,bc_jackson2020,True
motif_macrophage_tumor_niche,1,2,0.5426666666666667,bc_jackson2020,True
motif_macrophage_tumor_niche,1,3,0.5092838196286472,bc_jackson2020,True
motif_macrophage_tumor_niche,1,4,0.5595595595595596,bc_jackson2020,True
motif_macrophage_tumor_niche,2,0,0.590625,bc_jackson2020,True
motif_macrophage_tumor_niche,2,1,0.45483870967741935,bc_jackson2020,True
motif_macrophage_tumor_niche,2,2,0.5959821428571428,bc_jackson2020,True
motif_macrophage_tumor_niche,2,3,0.6823979591836734,bc_jackson2020,True
motif_macrophage_tumor_niche,2,4,0.6531250000000001,bc_jackson2020,True
motif_t_tumor_mixing,0,0,0.6621499548328816,bc_jackson2020,True
motif_t_tumor_mixing,0,1,0.5797511312217195,bc_jackson2020,True
motif_t_tumor_mixing,0,2,0.6381944444444444,bc_jackson2020,True
motif_t_tumor_mixing,0,3,0.6248427672955975,bc_jackson2020,True
motif_t_tumor_mixing,0,4,0.7064393939393939,bc_jackson2020,True
motif_t_tumor_mixing,1,0,0.5972644376899696,bc_jackson2020,True
motif_t_tumor_mixing,1,1,0.7057245080500895,bc_jackson2020,True
motif_t_tumor_mixing,1,2,0.7193415637860082,bc_jackson2020,True
motif_t_tumor_mixing,1,3,0.4883720930232558,bc_jackson2020,True
motif_t_tumor_mixing,1,4,0.7102864583333334,bc_jackson2020,True
motif_t_tumor_mixing,2,0,0.713265306122449,bc_jackson2020,True
motif_t_tumor_mixing,2,1,0.6733630952380952,bc_jackson2020,True
motif_t_tumor_mixing,2,2,0.5825806451612904,bc_jackson2020,True
motif_t_tumor_mixing,2,3,0.7053140096618358,bc_jackson2020,True
motif_t_tumor_mixing,2,4,0.5555555555555556,bc_jackson2020,True
motif_tumor_high,0,0,0.8843915343915343,bc_jackson2020,True
motif_tumor_high,0,1,0.8424908424908426,bc_jackson2020,True
motif_tumor_high,0,2,0.8009828009828011,bc_jackson2020,True
motif_tumor_high,0,3,0.8196699134199135,bc_jackson2020,True
motif_tumor_high,0,4,0.8669577205882353,bc_jackson2020,True
motif_tumor_high,1,0,0.8318553295079116,bc_jackson2020,True
motif_tumor_high,1,1,0.9052936311000828,bc_jackson2020,True
motif_tumor_high,1,2,0.798828125,bc_jackson2020,True
motif_tumor_high,1,3,0.8156301596037424,bc_jackson2020,True
motif_tumor_high,1,4,0.8275234131113424,bc_jackson2020,True
motif_tumor_high,2,0,0.8567251461988304,bc_jackson2020,True
motif_tumor_high,2,1,0.8404143718856544,bc_jackson2020,True
motif_tumor_high,2,2,0.8208020050125313,bc_jackson2020,True
motif_tumor_high,2,3,0.7933097031457688,bc_jackson2020,True
motif_tumor_high,2,4,0.8768028846153846,bc_jackson2020,True
motif_cd8_high,0,0,0.7813681027966743,bc_jackson2020,False
motif_cd8_high,0,1,0.8003663003663004,bc_jackson2020,False
motif_cd8_high,0,2,0.726890756302521,bc_jackson2020,False
motif_cd8_high,0,3,0.7403936269915651,bc_jackson2020,False
motif_cd8_high,0,4,0.7309853068280034,bc_jackson2020,False
motif_cd8_high,1,0,0.8496078431372549,bc_jackson2020,False
motif_cd8_high,1,1,0.7457078069322967,bc_jackson2020,False
motif_cd8_high,1,2,0.7571121846484166,bc_jackson2020,False
motif_cd8_high,1,3,0.7132530120481928,bc_jackson2020,False
motif_cd8_high,1,4,0.760079312623926,bc_jackson2020,False
motif_cd8_high,2,0,0.6643222506393862,bc_jackson2020,False
motif_cd8_high,2,1,0.8048642533936652,bc_jackson2020,False
motif_cd8_high,2,2,0.8115480791088884,bc_jackson2020,False
motif_cd8_high,2,3,0.7222222222222222,bc_jackson2020,False
motif_cd8_high,2,4,0.816421052631579,bc_jackson2020,False
